Departamento,Curso,Início,Fim,Modalidade,semestre
DCBIO,Engenharia de Alimentos,11/03/2025,25/08/2025,Bolsista,2025.1
DCBIO,Agronomia,07/04/2025,25/08/2025,Bolsista,2025.1
DCBIO,Licenciatura em Ciências Biológicas,09/09/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Farmácia,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Odontologia,26/08/2024,10/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Odontologia,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Odontologia,26/08/2024,10/08/2025,Bolsista,2024.2
DSAU,Odontologia,26/08/2024,04/02/2025,Bolsista,2024.2
DSAU,Enfermagem,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Farmácia,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Odontologia,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Enfermagem,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Licenciatura em Educação Física,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Farmácia,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Farmácia,02/09/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,05/05/2025,Bolsista,2024.2
DSAU,Odontologia,02/09/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Farmácia,26/08/2024,10/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Enfermagem,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Farmácia,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,12/09/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Farmácia,26/08/2024,25/08/2025,Bolsista,2024.2
DSAU,Medicina,02/09/2024,25/08/2025,Bolsista,2024.2
DSAU,Odontologia,02/12/2024,25/08/2025,Bolsista,2024.2
DSAU,Farmácia,12/02/2025,10/08/2025,Bolsista,2025.1
DSAU,Farmácia,24/03/2025,25/08/2025,Bolsista,2025.1
DSAU,Odontologia,01/04/2025,25/08/2025,Bolsista,2025.1
DSAU,Farmácia,09/09/2024,25/08/2025,Bolsista,2024.2
DEXA,Engenharia da Computação,26/08/2024,25/08/2025,Bolsista,2024.2
DEXA,Física,13/01/2025,25/08/2025,Bolsista,2025.1
DEXA,Engenharia Civil,26/08/2024,30/04/2025,Bolsista,2024.2
DEXA,Engenharia Civil,26/08/2024,25/08/2025,Bolsista,2024.2
